County,State,Value
Denver,CO,381.2
Otter Tail,MN,381.3
Douglas,OR,381.3
Montgomery,PA,381.3
Franklin,MA,381.5
Stutsman,ND,381.6
Grant,NM,381.7
Grand Traverse,MI,381.7
Dodge,NE,382.1
Phillips,MT,382.1
Wayne,NY,382.2
DeKalb,GA,382.2
Goochland,VA,382.5
Pierce,WI,382.5
Umatilla,OR,382.6
Yates,NY,382.7
St. Charles,MO,382.7
Garfield,WA,382.7
Coamo,PR,382.7
Seneca,NY,382.8
Guilford,NC,382.9
Charlton,GA,382.9
Clarke,VA,382.9
Laramie,WY,383
Woodford,IL,383
Washington,NE,383.1
Thomas,KS,383.2
Mason,WA,383.2
Centre,PA,383.5
Ness,KS,383.6
Worth,IA,383.6
LaMoure,ND,383.7
Ontario,NY,383.8
Bristol,MA,383.8
O'Brien,IA,383.8
Putnam,OH,384.1
Dickinson,IA,384.2
Weston,WY,384.2
Cochise,AZ,384.3
Geauga,OH,384.6
Grant,MN,384.6
Hendricks,IN,384.7
Seward,KS,384.9
Hampden,MA,384.9
Wibaux,MT,385.2
Lincoln,WY,385.3
Midland,MI,385.4
Grand Forks,ND,385.4
Union,OR,385.5
Logan,ND,385.6
Dare,NC,385.6
Brookings,SD,385.6
Edmunds,SD,385.7
Dickey,ND,385.7
Douglas,NE,385.8
Judith Basin,MT,385.8
Forsyth,NC,385.9
Boone,MO,386
Missoula,MT,386.1
Talbot,MD,386.1
Fallon,MT,386.2
Greenlee,AZ,386.2
Warrick,IN,386.4
Cedar,IA,386.5
Polk,MN,386.5
Kent,RI,386.5
Faulk,SD,386.6
Johnson,KS,386.6
Cass,MO,386.7
Poweshiek,IA,386.8
Spink,SD,386.8
Nemaha,KS,387
Hall,GA,387.1
Clark,ID,387.2
Potter,SD,387.2
Warren,OH,387.3
Big Stone,MN,387.5
Bristol,RI,387.5
Santa Isabel,PR,387.6
Logan,NE,387.6
Webb,TX,387.7
Chesterfield,VA,387.8
Hamilton,NE,388
Polk,IA,388
Kootenai,ID,388.1
Fond du Lac,WI,388.1
Moody,SD,388.3
Flagler,FL,388.3
Cherokee,GA,388.4
Stevens,WA,388.4
Lincoln,WA,388.5
Monmouth,NJ,388.5
Caswell,NC,388.7
Delaware,IA,388.7
McMullen,TX,388.7
Prairie,MT,388.8
Stanton,NE,388.9
Alamosa,CO,389.1
Goshen,WY,389.1
Hardee,FL,389.3
Hancock,IL,389.3
Knox,NE,389.3
Lake,OR,389.3
Lincoln,ME,389.3
Marshall,SD,389.4
Sweet Grass,MT,389.5
Fayette,KY,389.5
Miami-Dade,FL,389.5
Polk,NE,389.9
Bon Homme,SD,390
Brown,SD,390.2
Addison,VT,390.2
Gregory,SD,390.3
Outagamie,WI,390.3
McLean,IL,390.5
Bremer,IA,390.7
Wells,ND,390.7
Barron,WI,390.7
Jefferson,WI,390.8
Cherry,NE,390.8
Carter,MT,390.8
Multnomah,OR,390.9
Bonner,ID,391
Union,NJ,391.2
Kittson,MN,391.2
Fairbanks North Star,AK,391.3
Jones,IA,391.3
Langlade,WI,391.4
Minnehaha,SD,391.4
Zapata,TX,391.5
Keya Paha,NE,391.5
Pawnee,NE,391.5
Garfield,NE,391.7
Hudson,NJ,391.7
Morgan,OH,391.7
Lake,FL,391.8
Beaver,UT,391.9
Liberty,MT,392
Boone,NE,392
Washington,IA,392.1
Powhatan,VA,392.1
Jasper,SC,392.3
Allamakee,IA,392.3
Phillips,CO,392.3
Wayne,NE,392.3
Los Angeles,CA,392.4
Hawaii,HI,392.5
Highlands,FL,392.6
Owyhee,ID,392.7
Clearwater,ID,392.8
Harney,OR,392.8
New Kent,VA,392.8
Starr,TX,392.9
Clark,WI,393.3
Warren,IA,393.3
Osceola,IA,393.4
Greeley,KS,393.4
Menard,IL,393.4
Rockwall,TX,393.4
Lancaster,PA,393.4
Hernando,FL,393.5
Harding,NM,393.5
Mercer,NJ,393.7
Baca,CO,393.8
Campbell,SD,393.9
Salt Lake,UT,393.9
Stanton,KS,394
Cedar,NE,394
Converse,WY,394.2
Grant,KS,394.3
Seward,NE,394.4
Denali,AK,394.5
Rio Grande,CO,394.6
Benzie,MI,394.7
Windsor,VT,394.7
Fremont,CO,394.8
Graham,AZ,394.9
Ashe,NC,394.9
Wasatch,UT,394.9
Blaine,NE,395.2
Yellowstone,MT,395.3
Hayes,NE,395.3
Monroe,IL,395.3
Madison,VA,395.3
McIntosh,ND,395.4
Musselshell,MT,395.6
Towns,GA,395.6
Hamlin,SD,395.6
Oglala Lakota,SD,395.8
Clay,MO,395.8
Lake,MT,395.9
Nemaha,NE,395.9
Jessamine,KY,395.9
Audubon,IA,396
Porter,IN,396
Crawford,IA,396.1
Sargent,ND,396.1
Comal,TX,396.1
Fremont,IA,396.3
Brule,SD,396.4
Belknap,NH,396.5
Elmore,ID,396.6
Putnam,NY,396.9
Roanoke,VA,396.9
Union,GA,397
Clay,NC,397.1
Wilkes,NC,397.1
Kings,CA,397.2
Platte,NE,397.3
Wheatland,MT,397.3
Trempealeau,WI,397.5
Kenedy,TX,397.6
Petroleum,MT,397.6
Dixon,NE,397.8
Sublette,WY,397.8
Madison,NE,397.9
Macon,NC,398
Treasure,MT,398.1
Tama,IA,398.1
McPherson,NE,398.2
Custer,MT,398.3
Saline,KS,398.4
Asotin,WA,398.5
San Saba,TX,398.6
Warren,VA,398.7
Walworth,WI,398.8
Lake,SD,398.8
Rockdale,GA,399.2
Banner,NE,399.2
Burke,ND,399.2
Gove,KS,399.3
Conejos,CO,399.4
Rich,UT,399.4
Habersham,GA,399.6
Elko,NV,399.6
Martin,MN,399.6
Allegan,MI,399.7
Kiowa,CO,399.7
Haines,AK,399.7
Juneau,AK,399.7
Washington,VT,400
Platte,WY,400
Bedford,VA,400
Hancock,IN,400.1
Oneida,ID,400.1
Lincoln,WI,400.2
Hand,SD,400.3
Kalamazoo,MI,400.4
Kingsbury,SD,400.5
Eau Claire,WI,400.6
Grayson,VA,400.6
Isle of Wight,VA,400.7
Winnebago,IA,400.8
Traverse,MN,400.9
Rosebud,MT,400.9
Palo Alto,IA,401
McHenry,IL,401.1
Hamilton,NY,401.2
Meade,KS,401.4
Columbia,WI,401.4
Gilchrist,FL,401.5
Hancock,ME,401.7
Hot Springs,WY,401.7
Duchesne,UT,401.7
Greenville,SC,401.8
Providence,RI,401.8
Chippewa,WI,401.9
Sagadahoc,ME,401.9
