County,State, Value ,
Culberson,TX, 36.70 ,  
Hardeman,TN, 36.70 ,  
Fairfield,SC, 36.70 ,  
Real,TX, 36.70 ,  
Webb,TX, 36.70 ,  
Henry,VA, 36.70 ,  
Lewis,WV, 36.80 ,  
Toombs,GA, 36.80 ,  
Warren,GA, 36.80 ,  
Otero,CO, 36.80 ,  
Decatur,IA, 36.80 ,  
Atoka,OK, 36.80 ,  
Adair,MO, 36.80 ,  
Knox,MO, 36.80 ,  
Madison,MO, 36.90 ,  
Blaine,MT, 36.90 ,  
McIntosh,OK, 36.90 ,  
Highlands,FL, 36.90 ,  
Bacon,GA, 36.90 ,  
Mercer,WV, 36.90 ,  
Uvalde,TX, 36.90 ,  
Hardin,TN, 37.00 ,  
Franklin,AL, 37.00 ,  
Geneva,AL, 37.00 ,  
Izard,AR, 37.00 ,  
Le Flore,OK, 37.00 ,  
Harding,NM, 37.00 ,  
Montmorency,MI, 37.00 ,  
Roosevelt,NM, 37.10 ,  
Jefferson,OK, 37.10 ,  
Carroll,AR, 37.10 ,  
DeKalb,AL, 37.10 ,  
Alamosa,CO, 37.10 ,  
Elbert,GA, 37.10 ,  
Johnson,AR, 37.20 ,  
Clark,AR, 37.20 ,  
Rio Arriba,NM, 37.20 ,  
Cherokee,NC, 37.20 ,  
Glacier,MT, 37.20 ,  
Neshoba,MS, 37.20 ,  
Chattooga,GA, 37.30 ,  
Burke,GA, 37.40 ,  
Jackson,FL, 37.40 ,  
Navajo,AZ, 37.40 ,  
Crenshaw,AL, 37.40 ,  
Carter,KY, 37.40 ,  
Wheatland,MT, 37.40 ,  
Grenada,MS, 37.40 ,  
Bronx,NY, 37.40 ,  
Obion,TN, 37.40 ,  
Collingsworth,TX, 37.40 ,  
Shelby,TX, 37.40 ,  
Nicholas,WV, 37.40 ,  
Wirt,WV, 37.50 ,  
Motley,TX, 37.50 ,  
Bledsoe,TN, 37.50 ,  
Franklin,MS, 37.50 ,  
Newton,MS, 37.50 ,  
Franklin,FL, 37.50 ,  
Putnam,FL, 37.50 ,  
Hardee,FL, 37.60 ,  
Washington,AL, 37.60 ,  
Crittenden,AR, 37.60 ,  
Nevada,AR, 37.60 ,  
Marshall,MS, 37.60 ,  
McDonald,MO, 37.60 ,  
Clare,MI, 37.60 ,  
Winn,LA, 37.60 ,  
Clay,NC, 37.60 ,  
McNairy,TN, 37.60 ,  
Knox,TX, 37.60 ,  
Warren,TN, 37.70 ,  
Wayne,TN, 37.70 ,  
Darlington,SC, 37.70 ,  
Washington,ME, 37.70 ,  
Stoddard,MO, 37.70 ,  
Okeechobee,FL, 37.70 ,  
Brantley,GA, 37.70 ,  
Pulaski,KY, 37.80 ,  
Taylor,KY, 37.80 ,  
Lincoln,MT, 37.80 ,  
St. Mary,LA, 37.80 ,  
Ogemaw,MI, 37.80 ,  
Clarke,MS, 37.80 ,  
Roscommon,MI, 37.80 ,  
Union,NM, 37.80 ,  
Lamb,TX, 37.80 ,  
Eastland,TX, 37.80 ,  
Covington,VA, 37.90 ,  
Hyde,NC, 37.90 ,  
Alcona,MI, 37.90 ,  
Dade,MO, 37.90 ,  
Tishomingo,MS, 37.90 ,  
Stephens,GA, 37.90 ,  
Yukon-Koyukuk,AK, 37.90 ,  
Appling,GA, 38.00 ,  
Trigg,KY, 38.00 ,  
Union,TN, 38.00 ,  
Van Buren,TN, 38.10 ,  
Lewis,TN, 38.10 ,  
Morgan,TN, 38.10 ,  
Nacogdoches,TX, 38.10 ,  
Bibb,GA, 38.10 ,  
Barry,MO, 38.10 ,  
Perry,MS, 38.10 ,  
Schuyler,MO, 38.10 ,  
Avery,NC, 38.10 ,  
Johnston,OK, 38.10 ,  
Malheur,OR, 38.10 ,  
Athens,OH, 38.10 ,  
Monroe,MS, 38.20 ,  
Van Buren,AR, 38.20 ,  
Las Animas,CO, 38.20 ,  
Dickens,TX, 38.20 ,  
Decatur,TN, 38.20 ,  
Weakley,TN, 38.20 ,  
Roanoke City,VA, 38.20 ,  
Lunenburg,VA, 38.30 ,  
Monroe,TN, 38.30 ,  
Cherokee,SC, 38.30 ,  
Gregory,SD, 38.30 ,  
Dimmit,TX, 38.30 ,  
Morris,TX, 38.30 ,  
Laurel,KY, 38.30 ,  
Golden Valley,MT, 38.30 ,  
Taney,MO, 38.30 ,  
Adams,OH, 38.30 ,  
Dona Ana,NM, 38.30 ,  
Colfax,NM, 38.40 ,  
Okmulgee,OK, 38.40 ,  
Deer Lodge,MT, 38.40 ,  
Morgan,MO, 38.40 ,  
Edmonson,KY, 38.40 ,  
Grayson,KY, 38.40 ,  
Caddo,LA, 38.40 ,  
Orleans,LA, 38.40 ,  
Miller,AR, 38.40 ,  
Fayette,AL, 38.40 ,  
Lamar,AL, 38.40 ,  
Gulf,FL, 38.40 ,  
Monroe,WV, 38.40 ,  
Randolph,WV, 38.50 ,  
Patrick,VA, 38.50 ,  
Grant,WV, 38.50 ,  
Sabine,TX, 38.50 ,  
Dewey,SD, 38.50 ,  
Lauderdale,TN, 38.50 ,  
Twiggs,GA, 38.50 ,  
Clay,AL, 38.50 ,  
Jefferson,AR, 38.50 ,  
Ouachita,LA, 38.50 ,  
Smith,MS, 38.50 ,  
Liberty,MT, 38.50 ,  
Sanders,MT, 38.50 ,  
Somerset,MD, 38.50 ,  
Houghton,MI, 38.60 ,  
