County,Population,Median household income,State Code,State
Llano ,19323,48259,TX,Texas
Loving ,117,null,TX,Texas
Lubbock ,290782,46075,TX,Texas
Lynn ,5764,39526,TX,Texas
McCulloch ,8273,40561,TX,Texas
McLennan ,241505,42687,TX,Texas
McMullen ,778,46250,TX,Texas
Madison ,13838,39390,TX,Texas
Marion ,10248,34175,TX,Texas
Martin ,5252,55682,TX,Texas
Mason ,4066,37654,TX,Texas
Matagorda ,36598,40797,TX,Texas
Maverick ,56548,33747,TX,Texas
Medina ,47392,57338,TX,Texas
Menard ,2182,34464,TX,Texas
Midland ,151290,68806,TX,Texas
Milam ,24344,38929,TX,Texas
Mills ,4875,43920,TX,Texas
Mitchell ,9169,49870,TX,Texas
Montague ,19478,46172,TX,Texas
Montgomery ,502586,68838,TX,Texas
Moore ,22281,49802,TX,Texas
Morris ,12700,39453,TX,Texas
Motley ,1071,31683,TX,Texas
Nacogdoches ,65531,39538,TX,Texas
Navarro ,48118,41505,TX,Texas
Newton ,14231,38144,TX,Texas
Nolan ,15061,37102,TX,Texas
Nueces ,352060,50337,TX,Texas
Ochiltree ,10642,51517,TX,Texas
Oldham ,2071,50893,TX,Texas
Orange ,83217,49763,TX,Texas
Palo Pinto ,27921,39516,TX,Texas
Panola ,23900,50119,TX,Texas
Parker ,121418,67288,TX,Texas
Parmer ,10004,45326,TX,Texas
Pecos ,15807,50305,TX,Texas
Polk ,46113,39662,TX,Texas
Potter ,122352,38159,TX,Texas
Presidio ,7304,32132,TX,Texas
Rains ,11037,48448,TX,Texas
Randall ,126782,60972,TX,Texas
Reagan ,3598,52181,TX,Texas
Real ,3356,36523,TX,Texas
Red River ,12567,31563,TX,Texas
Reeves ,14179,43540,TX,Texas
Refugio ,7277,44240,TX,Texas
Roberts ,931,63889,TX,Texas
Robertson ,16532,46501,TX,Texas
Rockwall ,85536,87524,TX,Texas
Runnels ,10445,41526,TX,Texas
Rusk ,53457,46173,TX,Texas
Sabine ,10440,31307,TX,Texas
San Augustine ,8695,28275,TX,Texas
San Jacinto ,27023,43029,TX,Texas
San Patricio ,66070,52261,TX,Texas
San Saba ,5893,39040,TX,Texas
Schleicher ,3224,55543,TX,Texas
Scurry ,17238,56842,TX,Texas
Shackelford ,3352,48750,TX,Texas
Shelby ,25725,37756,TX,Texas
Sherman ,3066,51987,TX,Texas
Smith ,217552,46929,TX,Texas
Somervell ,8608,51912,TX,Texas
Starr ,62648,26172,TX,Texas
Stephens ,9452,43951,TX,Texas
Sterling ,1346,53456,TX,Texas
Stonewall ,1414,42155,TX,Texas
Sutton ,3966,51667,TX,Texas
Swisher ,7713,37040,TX,Texas
Tarrant ,1914526,58711,TX,Texas
Taylor ,134435,45396,TX,Texas
Terrell ,921,31111,TX,Texas
Terry ,12687,37475,TX,Texas
Throckmorton ,1545,41042,TX,Texas
Titus ,32553,44178,TX,Texas
Tom Green ,115056,46711,TX,Texas
Travis ,1121645,61451,TX,Texas
Trinity ,14405,34295,TX,Texas
Tyler ,21462,41360,TX,Texas
Upshur ,40096,46673,TX,Texas
Upton ,3405,46131,TX,Texas
Uvalde ,26952,38568,TX,Texas
Val Verde ,48980,42174,TX,Texas
Van Zandt ,52736,44002,TX,Texas
Victoria ,90099,51758,TX,Texas
Walker ,69330,37666,TX,Texas
Waller ,45847,51348,TX,Texas
Ward ,11225,51345,TX,Texas
Washington ,34236,51269,TX,Texas
Webb ,263251,38862,TX,Texas
Wharton ,41264,45176,TX,Texas
Wheeler ,5618,52221,TX,Texas
Wichita ,131957,45543,TX,Texas
Wilbarger ,13158,41630,TX,Texas
Willacy ,22002,26495,TX,Texas
Williamson ,473592,73750,TX,Texas
Wilson ,45509,68100,TX,Texas
Winkler ,7576,55756,TX,Texas
Wise ,61243,56897,TX,Texas
Wood ,42712,45686,TX,Texas
Yoakum ,8213,56153,TX,Texas
Young ,18329,44693,TX,Texas
Zapata ,14308,32162,TX,Texas
Zavala ,12060,26672,TX,Texas
Beaver ,6461,50282,UT,Utah
Box Elder ,50991,55038,UT,Utah
Cache ,117449,50497,UT,Utah
Carbon ,20927,46900,UT,Utah
Daggett ,776,56750,UT,Utah
Davis ,323374,71112,UT,Utah
Duchesne ,19817,61133,UT,Utah
Emery ,10728,49787,UT,Utah
Garfield ,5069,42614,UT,Utah
Grand ,9388,41312,UT,Utah
Iron ,47139,43855,UT,Utah
Juab ,10400,54761,UT,Utah
Kane ,7202,50194,UT,Utah
Millard ,12582,51593,UT,Utah
Morgan ,10276,74314,UT,Utah
Piute ,1865,35980,UT,Utah
Rich ,2292,50781,UT,Utah
Salt Lake ,1078958,62117,UT,Utah
San Juan ,15152,41484,UT,Utah
Sanpete ,28261,50323,UT,Utah
Sevier ,20871,46291,UT,Utah
Summit ,38521,91773,UT,Utah
Tooele ,60893,63552,UT,Utah
Uintah ,35721,66815,UT,Utah
Utah ,551957,62180,UT,Utah
Wasatch ,26661,66486,UT,Utah
Washington ,148244,50774,UT,Utah
Wayne ,2722,40645,UT,Utah
Weber ,238682,56581,UT,Utah
Addison ,36943,59688,VT,Vermont
Bennington ,36589,49573,VT,Vermont
Caledonia ,31012,45323,VT,Vermont
Chittenden ,159711,65350,VT,Vermont
Essex ,6207,36599,VT,Vermont
Franklin ,48418,58199,VT,Vermont
Grand Isle ,6952,62608,VT,Vermont
Lamoille ,25027,50939,VT,Vermont
Orange ,28929,53869,VT,Vermont
Orleans ,27146,42831,VT,Vermont
Rutland ,60530,49372,VT,Vermont
Washington ,59132,58788,VT,Vermont
Windham ,43858,51045,VT,Vermont
Windsor ,56150,52965,VT,Vermont
Accomack ,33115,39412,VA,Virginia
Albemarle ,103108,68449,VA,Virginia
Alleghany ,16066,45007,VA,Virginia
Amelia ,12777,56850,VA,Virginia
Amherst ,32148,47558,VA,Virginia
Appomattox ,15208,48823,VA,Virginia
Arlington ,223945,105763,VA,Virginia
Augusta ,74053,54558,VA,Virginia
Bath ,4583,43646,VA,Virginia
Bedford ,76463,56316,VA,Virginia
Bland ,6662,45294,VA,Virginia
Botetourt ,33155,60454,VA,Virginia
Brunswick ,16930,36919,VA,Virginia
Buchanan ,23486,29679,VA,Virginia
Buckingham ,17068,40331,VA,Virginia
Campbell ,55012,47699,VA,Virginia
Caroline ,29349,59227,VA,Virginia
Carroll ,29856,35000,VA,Virginia
Charles City ,7118,49563,VA,Virginia
Charlotte ,12313,35079,VA,Virginia
Chesterfield ,328176,72609,VA,Virginia
Clarke ,14299,71295,VA,Virginia
Craig ,5212,44330,VA,Virginia
Culpeper ,48424,66697,VA,Virginia
Cumberland ,9859,39301,VA,Virginia
Dickenson ,15463,33624,VA,Virginia
Dinwiddie ,28110,51397,VA,Virginia
Essex ,11151,42760,VA,Virginia
Fairfax ,1128722,112552,VA,Virginia
Fauquier ,67463,91609,VA,Virginia
Floyd ,15523,48005,VA,Virginia
Fluvanna ,26014,63938,VA,Virginia
Franklin ,56315,46870,VA,Virginia
Frederick ,81340,69098,VA,Virginia
Giles ,16907,46390,VA,Virginia
Gloucester ,37001,61121,VA,Virginia
Goochland ,21721,79330,VA,Virginia
Grayson ,15573,29942,VA,Virginia
Greene ,18938,61550,VA,Virginia
Greensville ,11760,38012,VA,Virginia
Halifax ,35506,35240,VA,Virginia
Hanover ,101340,78645,VA,Virginia
Henrico ,318864,61934,VA,Virginia
Henry ,52580,35293,VA,Virginia
Highland ,2244,43914,VA,Virginia
Isle of Wight ,35740,65741,VA,Virginia
James City ,70673,75710,VA,Virginia
King and Queen ,7106,48292,VA,Virginia
King George ,24933,81688,VA,Virginia
King William ,16097,62031,VA,Virginia
Lancaster ,11129,50374,VA,Virginia
Lee ,25206,31086,VA,Virginia
Loudoun ,351129,123453,VA,Virginia
Louisa ,33986,57829,VA,Virginia
Lunenburg ,12558,39506,VA,Virginia
Madison ,13147,47736,VA,Virginia
Mathews ,8880,63845,VA,Virginia
Mecklenburg ,31555,37356,VA,Virginia
Middlesex ,10717,54654,VA,Virginia
Montgomery ,96467,46663,VA,Virginia
Nelson ,14858,47118,VA,Virginia
New Kent ,19560,73041,VA,Virginia
Northampton ,12184,35055,VA,Virginia
Northumberland ,12304,51885,VA,Virginia
Nottoway ,15711,36284,VA,Virginia
Orange ,34596,65166,VA,Virginia
Page ,23843,43895,VA,Virginia
Patrick ,18264,33982,VA,Virginia
Pittsylvania ,62794,41824,VA,Virginia
Powhatan ,28207,77896,VA,Virginia
Prince Edward ,23022,41697,VA,Virginia
Prince George ,37380,61857,VA,Virginia
Prince William ,437271,98657,VA,Virginia
Pulaski ,34528,47495,VA,Virginia
Rappahannock ,7431,57210,VA,Virginia
Richmond ,8989,47288,VA,Virginia
Roanoke ,93633,60519,VA,Virginia
Rockbridge ,22444,48901,VA,Virginia
Rockingham ,77785,53744,VA,Virginia
Russell ,28245,35045,VA,Virginia
Scott ,22570,37240,VA,Virginia
Shenandoah ,42724,49406,VA,Virginia
Smyth ,31734,37983,VA,Virginia
Southampton ,18410,48962,VA,Virginia
Spotsylvania ,127691,78125,VA,Virginia
Stafford ,137145,97144,VA,Virginia
Surry ,6823,53673,VA,Virginia
Sussex ,11864,39194,VA,Virginia
Tazewell ,43870,37664,VA,Virginia
Warren ,38481,61454,VA,Virginia
Washington ,54759,43310,VA,Virginia
Westmoreland ,17557,47911,VA,Virginia
Wise ,40530,37407,VA,Virginia
Wythe ,29190,41360,VA,Virginia
York ,66471,81749,VA,Virginia
Alexandria city,149315,89134,VA,Virginia
Bristol city,17524,35368,VA,Virginia
Buena Vista city,6666,29097,VA,Virginia
Charlottesville city,45084,49775,VA,Virginia
Chesapeake city,230601,68620,VA,Virginia
Colonial Heights city,17515,50304,VA,Virginia
Covington city,5736,34746,VA,Virginia
Danville city,42450,32315,VA,Virginia
Emporia city,5672,28601,VA,Virginia
Fairfax city,23402,105297,VA,Virginia
Falls Church city,13308,120522,VA,Virginia
Franklin city,8457,32399,VA,Virginia
Fredericksburg city,27395,51762,VA,Virginia
Galax city,6876,30604,VA,Virginia
Hampton city,137081,49190,VA,Virginia
Harrisonburg city,51388,38750,VA,Virginia
Hopewell city,22279,39064,VA,Virginia
Lexington city,7071,34017,VA,Virginia
Lynchburg city,78158,39589,VA,Virginia
Manassas city,40743,72890,VA,Virginia
Manassas Park city,15625,73528,VA,Virginia
Martinsville city,13624,29587,VA,Virginia
Newport News city,181323,50077,VA,Virginia
Norfolk city,245452,44480,VA,Virginia
Norton city,4007,27731,VA,Virginia
Petersburg city,32123,31798,VA,Virginia
Poquoson city,12077,83735,VA,Virginia
Portsmouth city,96135,45676,VA,Virginia
Radford city,17057,29912,VA,Virginia
Richmond city,213735,40758,VA,Virginia
Roanoke city,98736,39930,VA,Virginia
Salem city,25165,50068,VA,Virginia
Staunton city,24193,40842,VA,Virginia
Suffolk city,86184,65499,VA,Virginia
Virginia Beach city,448290,66634,VA,Virginia
Waynesboro city,21150,45643,VA,Virginia
Williamsburg city,14754,48639,VA,Virginia
Winchester city,27168,45363,VA,Virginia
Adams ,19081,46564,WA,Washington
Asotin ,22040,44394,WA,Washington
Benton ,184930,60251,WA,Washington
Chelan ,74267,51837,WA,Washington
Clallam ,72397,47253,WA,Washington
Clark ,444506,60756,WA,Washington
Columbia ,3989,38581,WA,Washington
Cowlitz ,102338,47452,WA,Washington
Douglas ,39599,53636,WA,Washington
Ferry ,7652,38125,WA,Washington
Franklin ,86443,56980,WA,Washington
Garfield ,2230,45855,WA,Washington
Grant ,92070,48714,WA,Washington
Grays Harbor ,71419,43538,WA,Washington
Island ,79329,58815,WA,Washington
Jefferson ,30083,49279,WA,Washington
King ,2045756,75302,WA,Washington
Kitsap ,255441,62941,WA,Washington
Kittitas ,42204,46458,WA,Washington
Klickitat ,20820,48319,WA,Washington
Lewis ,75515,44100,WA,Washington
Lincoln ,10363,46069,WA,Washington
Mason ,60791,50406,WA,Washington
Okanogan ,41332,40730,WA,Washington
Pacific ,20645,37684,WA,Washington
Pend Oreille ,12968,40599,WA,Washington
Pierce ,821952,59953,WA,Washington
San Juan ,15956,55960,WA,Washington
Skagit ,119343,54129,WA,Washington
Skamania ,11243,52374,WA,Washington
Snohomish ,746653,70722,WA,Washington
Spokane ,480832,50079,WA,Washington
Stevens ,43548,41978,WA,Washington
Thurston ,262723,61677,WA,Washington
Wahkiakum ,4035,44485,WA,Washington
Walla Walla ,59726,47946,WA,Washington
Whatcom ,207100,53145,WA,Washington
Whitman ,46737,36631,WA,Washington
Yakima ,247408,44749,WA,Washington
Barbour ,16731,37066,WV,West Virginia
Berkeley ,108724,55239,WV,West Virginia
Boone ,24000,39958,WV,West Virginia
Braxton ,14466,32750,WV,West Virginia
Brooke ,23665,46215,WV,West Virginia
Cabell ,96824,38344,WV,West Virginia
Calhoun ,7557,35568,WV,West Virginia
Clay ,9141,31325,WV,West Virginia
Doddridge ,8201,39974,WV,West Virginia
Fayette ,45534,36293,WV,West Virginia
Gilmer ,8644,37536,WV,West Virginia
Grant ,11815,39088,WV,West Virginia
Greenbrier ,35666,39746,WV,West Virginia
Hampshire ,23542,27995,WV,West Virginia
Hancock ,30201,39959,WV,West Virginia
Hardy ,13936,40303,WV,West Virginia
Harrison ,68998,43987,WV,West Virginia
Jackson ,29256,41314,WV,West Virginia
Jefferson ,55214,66677,WV,West Virginia
Kanawha ,190781,45882,WV,West Virginia
Lewis ,16434,37849,WV,West Virginia
Lincoln ,21560,35800,WV,West Virginia
Logan ,35760,36763,WV,West Virginia
McDowell ,20802,24921,WV,West Virginia
Marion ,56790,43165,WV,West Virginia
Marshall ,32480,45182,WV,West Virginia
Mason ,27177,36448,WV,West Virginia
Mercer ,61891,36195,WV,West Virginia
Mineral ,27755,31790,WV,West Virginia
Mingo ,25931,33221,WV,West Virginia
Monongalia ,101668,45467,WV,West Virginia
Monroe ,13525,36918,WV,West Virginia
Morgan ,17475,39324,WV,West Virginia
Nicholas ,25930,39171,WV,West Virginia
Ohio ,43637,40569,WV,West Virginia
Pendleton ,7402,36953,WV,West Virginia
Pleasants ,7636,44288,WV,West Virginia
Pocahontas ,8697,36827,WV,West Virginia
Preston ,33809,45064,WV,West Virginia
Putnam ,56596,56774,WV,West Virginia
Raleigh ,78493,41032,WV,West Virginia
Randolph ,29365,39457,WV,West Virginia
Ritchie ,10140,37636,WV,West Virginia
Roane ,14636,31813,WV,West Virginia
Summers ,13544,36651,WV,West Virginia
Taylor ,16977,43970,WV,West Virginia
Tucker ,6972,40533,WV,West Virginia
Tyler ,9033,38854,WV,West Virginia
Upshur ,24560,40330,WV,West Virginia
Wayne ,41499,36318,WV,West Virginia
Webster ,8927,29086,WV,West Virginia
Wetzel ,16157,39096,WV,West Virginia
Wirt ,5841,39352,WV,West Virginia
Wood ,86559,41884,WV,West Virginia
Wyoming ,22866,33730,WV,West Virginia
Adams ,20451,43640,WI,Wisconsin
Ashland ,15993,39381,WI,Wisconsin
Barron ,45686,45714,WI,Wisconsin
Bayfield ,15050,46665,WI,Wisconsin
Brown ,254717,53527,WI,Wisconsin
Buffalo ,13319,50196,WI,Wisconsin
Burnett ,15334,41135,WI,Wisconsin
Calumet ,49678,67427,WI,Wisconsin
Chippewa ,63209,52109,WI,Wisconsin
Clark ,34518,45048,WI,Wisconsin
Columbia ,56607,59769,WI,Wisconsin
Crawford ,16483,44459,WI,Wisconsin
Dane ,510198,62865,WI,Wisconsin
Dodge ,88547,53783,WI,Wisconsin
Door ,27731,51928,WI,Wisconsin
Douglas ,43799,47095,WI,Wisconsin
Dunn ,44159,49788,WI,Wisconsin
Eau Claire ,101281,49513,WI,Wisconsin
Florence ,4476,48643,WI,Wisconsin
Fond du Lac ,101920,55473,WI,Wisconsin
Forest ,9150,40636,WI,Wisconsin
Grant ,51489,49067,WI,Wisconsin
Green ,37044,56219,WI,Wisconsin
Green Lake ,18966,46780,WI,Wisconsin
Iowa ,23769,55188,WI,Wisconsin
Iron ,5907,42543,WI,Wisconsin
Jackson ,20543,47851,WI,Wisconsin
Jefferson ,84345,56877,WI,Wisconsin
Juneau ,26494,44961,WI,Wisconsin
Kenosha ,167738,54918,WI,Wisconsin
Kewaunee ,20483,56863,WI,Wisconsin
La Crosse ,117048,50539,WI,Wisconsin
Lafayette ,16835,51445,WI,Wisconsin
Langlade ,19551,41775,WI,Wisconsin
Lincoln ,28286,49721,WI,Wisconsin
Manitowoc ,80521,48398,WI,Wisconsin
Marathon ,135177,54083,WI,Wisconsin
Marinette ,41287,43425,WI,Wisconsin
Marquette ,15140,46242,WI,Wisconsin
Menominee ,4451,35343,WI,Wisconsin
Milwaukee ,955939,43873,WI,Wisconsin
Monroe ,45274,50694,WI,Wisconsin
Oconto ,37476,52765,WI,Wisconsin
Oneida ,35653,46516,WI,Wisconsin
Outagamie ,180430,58765,WI,Wisconsin
Ozaukee ,87273,76433,WI,Wisconsin
Pepin ,7372,49516,WI,Wisconsin
Pierce ,40799,61611,WI,Wisconsin
Polk ,43572,50714,WI,Wisconsin
Portage ,70432,51613,WI,Wisconsin
Price ,13800,43137,WI,Wisconsin
Racine ,194895,55584,WI,Wisconsin
Richland ,17746,44810,WI,Wisconsin
Rock ,160727,50324,WI,Wisconsin
Rusk ,14357,39194,WI,Wisconsin
St. Croix ,86118,70886,WI,Wisconsin
Sauk ,62992,51055,WI,Wisconsin
Sawyer ,16483,41665,WI,Wisconsin
Shawano ,41563,47861,WI,Wisconsin
Sheboygan ,115226,53713,WI,Wisconsin
Taylor ,20569,45420,WI,Wisconsin
Trempealeau ,29412,51077,WI,Wisconsin
Vernon ,30279,47675,WI,Wisconsin
Vilas ,21355,41061,WI,Wisconsin
Walworth ,103039,53445,WI,Wisconsin
Washburn ,15700,42368,WI,Wisconsin
Washington ,132921,69237,WI,Wisconsin
Waukesha ,393873,76545,WI,Wisconsin
Waupaca ,52125,51994,WI,Wisconsin
Waushara ,24321,45166,WI,Wisconsin
Winnebago ,169004,52018,WI,Wisconsin
Wood ,74012,48961,WI,Wisconsin
Albany ,37565,42834,WY,Wyoming
Big Horn ,11895,51679,WY,Wyoming
Campbell ,48013,80060,WY,Wyoming
Carbon ,15739,56825,WY,Wyoming
Converse ,14101,62307,WY,Wyoming
Crook ,7229,60445,WY,Wyoming
Fremont ,40755,52773,WY,Wyoming
Goshen ,13544,42689,WY,Wyoming
Hot Springs ,4809,45278,WY,Wyoming
Johnson ,8600,54065,WY,Wyoming
Laramie ,95431,60706,WY,Wyoming
Lincoln ,18316,66647,WY,Wyoming
Natrona ,80011,56871,WY,Wyoming
Niobrara ,2516,40398,WY,Wyoming
Park ,28985,56363,WY,Wyoming
Platte ,8750,38500,WY,Wyoming
Sheridan ,29738,55455,WY,Wyoming
Sublette ,10117,81772,WY,Wyoming
Sweetwater ,44772,69022,WY,Wyoming
Teton ,22311,75325,WY,Wyoming
Uinta ,20930,56569,WY,Wyoming
Washakie ,8400,47652,WY,Wyoming
Weston ,7152,57738,WY,Wyoming
Adjuntas Municipio,18962,10499,WY,Wyoming
Aguada Municipio,40603,16029,WY,Wyoming
Aguadilla Municipio,57973,17267,WY,Wyoming
Aguas Buenas Municipio,27693,14824,WY,Wyoming
Aibonito Municipio,24829,17307,WY,Wyoming
Aニ_ニ_asco Municipio,28579,17386,WY,Wyoming
Arecibo Municipio,92511,16485,WY,Wyoming
Arroyo Municipio,19018,15298,WY,Wyoming
Barceloneta Municipio,24775,15212,WY,Wyoming
Barranquitas Municipio,29805,14331,WY,Wyoming
Bayamニ__n Municipio,197287,24430,WY,Wyoming
Cabo Rojo Municipio,50380,16499,WY,Wyoming
Caguas Municipio,138262,23769,WY,Wyoming
Camuy Municipio,33949,17532,WY,Wyoming
Canニ__vanas Municipio,47432,20023,WY,Wyoming
Carolina Municipio,168114,27969,WY,Wyoming
Cataニ_ニ_o Municipio,26680,18326,WY,Wyoming
Cayey Municipio,46647,20751,WY,Wyoming
Ceiba Municipio,12810,20702,WY,Wyoming
Ciales Municipio,17928,12630,WY,Wyoming
Cidra Municipio,42298,23315,WY,Wyoming
Coamo Municipio,40293,18233,WY,Wyoming
Comerニ__o Municipio,20339,13124,WY,Wyoming
Corozal Municipio,35975,15098,WY,Wyoming
Culebra Municipio,1557,18649,WY,Wyoming
Dorado Municipio,38166,26947,WY,Wyoming
Fajardo Municipio,34720,19320,WY,Wyoming
Florida Municipio,12408,14994,WY,Wyoming
Guニ_ニ_nica Municipio,18207,13682,WY,Wyoming
Guayama Municipio,43700,15860,WY,Wyoming
Guayanilla Municipio,20442,15067,WY,Wyoming
Guaynabo Municipio,93899,34719,WY,Wyoming
Gurabo Municipio,46765,29317,WY,Wyoming
Hatillo Municipio,41578,18687,WY,Wyoming
Hormigueros Municipio,16845,20598,WY,Wyoming
Humacao Municipio,56384,19342,WY,Wyoming
Isabela Municipio,44438,15707,WY,Wyoming
Jayuya Municipio,15890,16033,WY,Wyoming
Juana Dニ__az Municipio,49259,18609,WY,Wyoming
Juncos Municipio,40104,19141,WY,Wyoming
Lajas Municipio,24722,13215,WY,Wyoming
Lares Municipio,28727,11905,WY,Wyoming
Las Marニ__as Municipio,9306,13944,WY,Wyoming
Las Piedras Municipio,38605,18838,WY,Wyoming
Loニ__za Municipio,28454,18718,WY,Wyoming
Luquillo Municipio,19497,18170,WY,Wyoming
Manatニ__ Municipio,42167,18162,WY,Wyoming
Maricao Municipio,6315,12606,WY,Wyoming
Maunabo Municipio,11701,19541,WY,Wyoming
Mayagニ__ez Municipio,83418,14871,WY,Wyoming
Moca Municipio,38815,14427,WY,Wyoming
Morovis Municipio,32294,16536,WY,Wyoming
Naguabo Municipio,26804,18704,WY,Wyoming
Naranjito Municipio,29751,17423,WY,Wyoming
Orocovis Municipio,22595,14110,WY,Wyoming
Patillas Municipio,18441,13284,WY,Wyoming
Peニ_ニ_uelas Municipio,22770,15497,WY,Wyoming
Ponce Municipio,156054,16318,WY,Wyoming
Quebradillas Municipio,25205,15806,WY,Wyoming
Rincニ__n Municipio,14841,16755,WY,Wyoming
Rニ__o Grande Municipio,53029,22246,WY,Wyoming
Sabana Grande Municipio,24307,14795,WY,Wyoming
Salinas Municipio,30114,15240,WY,Wyoming
San Germニ_ニ_n Municipio,34125,14797,WY,Wyoming
San Juan Municipio,371400,21243,WY,Wyoming
San Lorenzo Municipio,39778,16538,WY,Wyoming
San Sebastiニ_ニ_n Municipio,40471,14345,WY,Wyoming
Santa Isabel Municipio,22913,15674,WY,Wyoming
Toa Alta Municipio,74603,29976,WY,Wyoming
Toa Baja Municipio,85242,23303,WY,Wyoming
Trujillo Alto Municipio,71886,30140,WY,Wyoming
Utuado Municipio,31474,15725,WY,Wyoming
Vega Alta Municipio,39319,18016,WY,Wyoming
Vega Baja Municipio,56858,16948,WY,Wyoming
Vieques Municipio,9130,18104,WY,Wyoming
Villalba Municipio,24685,17818,WY,Wyoming
Yabucoa Municipio,36279,15627,WY,Wyoming
Yauco Municipio,39474,14708,WY,Wyoming
